"br";"total_acidentes";"total_mortos";"acidentes_fatais"
"0";"167";"0";"0"
"10";"506";"95";"86"
"20";"699";"69";"55"
"30";"4";"2";"2"
"40";"3502";"214";"180"
"50";"751";"42";"38"
"60";"1081";"75";"69"
"70";"1084";"86";"75"
"80";"146";"19";"17"
"101";"13014";"760";"682"
"104";"502";"58";"56"
"110";"339";"60";"51"
"116";"11021";"708";"638"
"122";"2";"0";"0"
"135";"559";"105";"82"
"146";"55";"3";"3"
"153";"2789";"282";"226"
"155";"55";"8";"7"
"156";"57";"0";"0"
"158";"683";"82";"72"
"163";"2519";"210";"173"
"174";"415";"48";"44"
"210";"112";"15";"10"
"222";"581";"128";"106"
"226";"297";"51";"42"
"230";"1745";"192";"168"
"232";"830";"105";"99"
"235";"330";"41";"31"
"242";"283";"73";"54"
"251";"342";"58";"41"
"259";"123";"9";"7"
"262";"1769";"169";"148"
"265";"2";"0";"0"
"267";"275";"27";"24"
"272";"53";"12";"8"
"277";"2157";"152";"134"
"280";"902";"46";"38"
"282";"1379";"100";"82"
"285";"410";"33";"28"
"287";"120";"10";"9"
"290";"768";"40";"31"
"293";"110";"16";"10"
"304";"449";"28";"25"
"307";"5";"0";"0"
"308";"34";"10";"10"
"316";"1236";"201";"182"
"317";"53";"12";"12"
"319";"164";"20";"14"
"324";"942";"63";"56"
"330";"54";"15";"9"
"343";"742";"51";"47"
"349";"52";"16";"12"
"354";"102";"2";"2"
"356";"195";"11";"10"
"359";"6";"1";"1"
"361";"36";"6";"5"
"364";"2264";"173";"153"
"365";"600";"87";"71"
"367";"137";"5";"3"
"369";"915";"72";"60"
"373";"231";"39";"27"
"376";"1762";"121";"114"
"381";"3496";"190";"171"
"386";"623";"60";"48"
"392";"364";"26";"20"
"393";"357";"29";"26"
"401";"35";"8";"5"
"402";"63";"23";"16"
"403";"6";"3";"3"
"405";"97";"22";"22"
"406";"127";"7";"7"
"407";"283";"48";"44"
"408";"141";"24";"23"
"410";"26";"2";"2"
"412";"28";"10";"10"
"414";"161";"25";"20"
"415";"63";"4";"2"
"416";"13";"6";"6"
"418";"37";"7";"5"
"419";"11";"1";"1"
"420";"28";"10";"8"
"421";"23";"1";"1"
"423";"183";"59";"40"
"424";"91";"23";"19"
"425";"32";"2";"2"
"426";"1";"0";"0"
"427";"52";"6";"6"
"428";"202";"13";"12"
"429";"28";"7";"6"
"430";"1";"0";"0"
"431";"1";"0";"0"
"432";"23";"5";"4"
"435";"69";"9";"8"
"436";"5";"0";"0"
"437";"1";"0";"0"
"447";"8";"2";"2"
"448";"86";"2";"2"
"452";"105";"9";"7"
"459";"154";"16";"15"
"463";"60";"8";"8"
"465";"250";"4";"4"
"467";"27";"1";"1"
"468";"45";"7";"5"
"469";"55";"0";"0"
"470";"1388";"123";"104"
"471";"81";"5";"5"
"472";"104";"8";"8"
"476";"427";"55";"43"
"480";"65";"3";"3"
"484";"1";"0";"0"
"485";"2";"0";"0"
"487";"49";"10";"5"
"488";"33";"1";"1"
"493";"369";"23";"21"
"495";"32";"0";"0"
