"uf";"total_acidentes";"acidentes_fatais";"total_mortos";"perc_fatais"
"AC";"280";"29";"29";"10.36"
"AL";"629";"86";"96";"13.67"
"AM";"138";"19";"26";"13.77"
"AP";"169";"9";"14";"5.33"
"BA";"4108";"476";"583";"11.59"
"CE";"1302";"153";"171";"11.75"
"DF";"1011";"43";"47";"4.25"
"ES";"2642";"145";"161";"5.49"
"GO";"3196";"247";"308";"7.73"
"MA";"1262";"236";"281";"18.7"
"MG";"9570";"647";"765";"6.76"
"MS";"1654";"136";"150";"8.22"
"MT";"2636";"204";"243";"7.74"
"PA";"1117";"193";"224";"17.28"
"PB";"1978";"127";"142";"6.42"
"PE";"3013";"302";"336";"10.02"
"PI";"1490";"149";"168";"10"
"PR";"7630";"511";"593";"6.7"
"RJ";"6428";"306";"330";"4.76"
"RN";"1648";"102";"111";"6.19"
"RO";"1452";"86";"102";"5.92"
"RR";"142";"23";"28";"16.2"
"RS";"4899";"275";"327";"5.61"
"SC";"8186";"374";"434";"4.57"
"SE";"589";"44";"51";"7.47"
"SP";"4683";"205";"221";"4.38"
"TO";"677";"83";"102";"12.26"
